Epoch: 260/500, Train Loss=0.4223752618, Val Loss=0.430790115
Epoch: 261/500, Train Loss=0.4253818989, Val Loss=0.4226453815
Epoch: 262/500, Train Loss=0.3504210114, Val Loss=0.4434656699
Epoch: 263/500, Train Loss=0.3605936766, Val Loss=0.4347332517
Epoch: 264/500, Train Loss=0.4136009812, Val Loss=0.4437216918
Epoch: 265/500, Train Loss=0.3752585053, Val Loss=0.4342104168
Epoch: 266/500, Train Loss=0.4134503007, Val Loss=0.4368791325
Epoch   266: reducing learning rate of group 0 to 2.5000e-02.
Epoch: 267/500, Train Loss=0.3837049603, Val Loss=0.4098160579
Epoch: 268/500, Train Loss=0.3889458179, Val Loss=0.4142910441
Epoch: 269/500, Train Loss=0.3938152194, Val Loss=0.4132914401
Epoch: 270/500, Train Loss=0.3503902555, Val Loss=0.4138202156
Epoch: 271/500, Train Loss=0.3293218017, Val Loss=0.4230327124
Epoch: 272/500, Train Loss=0.3964775801, Val Loss=0.4045404338
Epoch: 273/500, Train Loss=0.3699512482, Val Loss=0.4124529504
Epoch: 274/500, Train Loss=0.3743908405, Val Loss=0.4079828716
Epoch: 275/500, Train Loss=0.3285886049, Val Loss=0.4109284537
Epoch: 276/500, Train Loss=0.3134739995, Val Loss=0.4053403196
Epoch: 277/500, Train Loss=0.351755023, Val Loss=0.4128249571
Epoch: 278/500, Train Loss=0.3989185691, Val Loss=0.4060604147
Epoch: 279/500, Train Loss=0.3570494652, Val Loss=0.4079412761
Epoch: 280/500, Train Loss=0.3326557279, Val Loss=0.4011082678
Epoch: 281/500, Train Loss=0.426736474, Val Loss=0.4072902855
Epoch: 282/500, Train Loss=0.3577829599, Val Loss=0.4136601942
Epoch: 283/500, Train Loss=0.4306562543, Val Loss=0.4118104804
Epoch: 284/500, Train Loss=0.3318776488, Val Loss=0.401971028
Epoch: 285/500, Train Loss=0.3822130561, Val Loss=0.4040840467
Epoch: 286/500, Train Loss=0.4274134636, Val Loss=0.4064706422
Epoch: 287/500, Train Loss=0.3962490559, Val Loss=0.4044259105
Epoch   287: reducing learning rate of group 0 to 1.2500e-02.
Epoch: 288/500, Train Loss=0.3131013513, Val Loss=0.390225507
Epoch: 289/500, Train Loss=0.398545146, Val Loss=0.3912805801
Epoch: 290/500, Train Loss=0.3608415127, Val Loss=0.395126269
Epoch: 291/500, Train Loss=0.3758389354, Val Loss=0.4013853925
Epoch: 292/500, Train Loss=0.321651876, Val Loss=0.4042018595
Epoch: 293/500, Train Loss=0.3727272749, Val Loss=0.3933038428
Epoch: 294/500, Train Loss=0.3926618695, Val Loss=0.3906567891
Epoch: 295/500, Train Loss=0.388858676, Val Loss=0.4011715423
Epoch: 296/500, Train Loss=0.3565164208, Val Loss=0.3853821187
Epoch: 297/500, Train Loss=0.3754730225, Val Loss=0.3982622311
Epoch: 298/500, Train Loss=0.3482510448, Val Loss=0.3953679062
Epoch: 299/500, Train Loss=0.357393682, Val Loss=0.3912207371
Epoch: 300/500, Train Loss=0.3503761292, Val Loss=0.4032357818
Epoch: 301/500, Train Loss=0.3992995024, Val Loss=0.3942080396
Epoch: 302/500, Train Loss=0.335973084, Val Loss=0.3909283735
Epoch: 303/500, Train Loss=0.3339055777, Val Loss=0.3915619481
